trip_id,stop_id,delay_min,snapshot_time
304794937,de:11000:900120004::6,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120011::1,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120021::6,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120014::6,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120008::4,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120516::6,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120515::5,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900120716::1,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110523::4,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110021::6,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110025::4,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110020::10,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110512::4,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110017::10,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110511::4,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110006::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900110018::2,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900007105::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900007110::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900007150::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900007104::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900100009::11,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900100503::7,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003201::2,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003257::1,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003203::5,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900002206::3,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900002205::5,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794937,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120004::6,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120011::1,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120021::6,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120014::6,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120008::4,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120516::6,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120515::5,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900120716::1,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110523::4,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110021::6,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110025::4,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110020::10,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110512::4,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110017::10,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110511::4,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110006::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900110018::2,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900007105::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900007110::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900007150::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900007104::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900100009::11,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900100503::7,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003201::2,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003257::1,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003203::5,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900002206::3,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900002205::5,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304794943,de:11000:900003174::21,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900003174::22,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900002205::6,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900002206::4,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900003203::6,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900003257::2,0.0,2026-09-09T16:49:40.887355+02:00
304795584,de:11000:900003201::3,0.0,2026-09-09T16:49:40.887355+02:00
